gsis_id,pfr_id,name,merge_name,birthdate,college,yamplayer_id
00-0027048,CoffGl00,Glen Coffee,glen coffee,1987-05-01,Alabama,YAMP_17a085885147
00-0018959,SlauT.20,T.J. Slaughter,t.j. slaughter,1977-02-20,Southern Mississippi,YAMP_17a5fca6f694
GRA630036,GrayDa20,Dan Gray,dan gray,1956-01-29,Rutgers,YAMP_17a65bf7f9d1
00-0020468,BashId20,Idrees Bashir,idrees bashir,1978-12-07,Memphis,YAMP_17a73d902e23
,CoxxJu00,Justin Cox,justin cox,,Mississippi State,YAMP_17a970b5d142
00-0024755,TuckJy99,Jyles Tucker,jyles tucker,1983-09-18,Wake Forest,YAMP_17abecaaf75f
ILG553722,IlgeMa20,Mark Ilgenfritz,mark ilgenfritz,1952-09-09,Vanderbilt,YAMP_17b178ae656b
,,Billy Allen,billy allen,,Florida St.,YAMP_17b235d51e64
00-0030896,CataCh00,Chandler Catanzaro,chandler catanzaro,1991-02-26,Clemson,YAMP_17b398626901
BOW456819,BowmBa20,Barry Bowman,barry bowman,1964-12-18,Louisiana Tech,YAMP_17b3d9148ba7
,TaylCh04,Chris Taylor,chris taylor,,Texas A&M,YAMP_17b6f3ceec45
00-0040017,CornAj00,Ajani Cornelius,ajani cornelius,2002-05-21,Oregon; Rhode Island,YAMP_17bcde0f70be
AND516579,AndeTe20,Terry Anderson,terry anderson,1955-01-10,Bethune-Cookman College,YAMP_17bd716b080e
ING581406,IngrKe20,Kevin Ingram,kevin ingram,1962-04-26,East Carolina,YAMP_17c328c59085
HAL531982,HallSt00,Stephen Hall,stephen hall,2002-04-24,Missouri; Washington State,YAMP_17c329177eac
,,Demonte' Bolden,demonte' bolden,,Tennessee,YAMP_17c5fee01c49
,,Ronald Hopkins,ronald hopkins,,Murray St.,YAMP_17c98cfbea2a
00-0024232,GreeCh99,Chad Greenway,chad greenway,1983-01-12,Iowa,YAMP_17ca80dbdaee
00-0023481,RothMa20,Matt Roth,matt roth,1982-10-14,Iowa,YAMP_17ceb5dba198
00-0040223,CrawJe00,Jeremy Crawshaw,jeremy crawshaw,2001-05-22,Florida,YAMP_17d1b5e18cf5
00-0026142,LongCh99,Chris Long,chris long,1985-03-28,Virginia,YAMP_17d4eeef65b4
00-0036786,DietJo00,Jon Dietzen,jon dietzen,1996-12-30,Wisconsin,YAMP_17d56752f1f9
,,Bill Purifoy,bill purifoy,,Tulsa,YAMP_17d5fb7ed1a1
00-0028004,MochDo00,Dontay Moch,dontay moch,1988-07-19,Nevada,YAMP_17d87ec45a46
00-0040583,MarkWo00,Woody Marks,woody marks,2000-12-29,USC; Mississippi State,YAMP_17dc545f2ae3
00-0022393,,Atlas Herrion,atlas herrion,1980-12-03,Alabama,YAMP_17deac30e996
00-0003944,DaviBi00,Billy Davis,billy davis,1972-07-06,Pittsburgh,YAMP_17e4c8bc28ca
00-0032392,HoopAu00,Austin Hooper,austin hooper,1994-10-29,Stanford,YAMP_17e644f959ca
00-0039001,SteeTy00,Tyler Steen,tyler steen,2000-06-24,Alabama; Vanderbilt,YAMP_17e8c74f427c
FOR251690,FordJo20,John Ford,john ford,1966-07-31,Virginia,YAMP_17ecc5d22c84
00-0032093,,Sage Harold,sage harold,1991-11-13,James Madison,YAMP_17ecdeb7af73
00-0022247,AdamMi21,Mike Adams,mike adams,1981-03-24,Delaware,YAMP_17edd1da40f3
,MathJo00,Joe Mathis,joe mathis,,Washington,YAMP_17efc9142bf1
00-0033009,BoydTy00,Tyler Boyd,tyler boyd,1994-11-15,Pittsburgh,YAMP_17f2661fec66
00-0020658,,Michael Josiah,michael josiah,1979-08-13,Louisville,YAMP_17f28078e35b
00-0030911,DiekEm00,Emmanuel Dieke,emmanuel dieke,1990-09-23,Georgia Tech,YAMP_17fc91ffa806
,,Julius Wilson,julius wilson,,Ala-Birmingham,YAMP_17fd17d878bf
00-0019704,ColeCo21,Cosey Coleman,cosey coleman,1978-10-27,Tennessee,YAMP_18013324bd08
00-0032921,SterZa00,Zach Sterup,zach sterup,1992-05-14,Nebraska,YAMP_1803f6bb294d
CHA445676,ChapMi20,Mike Chapman,mike chapman,1961-02-10,Texas,YAMP_18060cb0baa5
00-0035402,GranCa01,Carl Granderson,carl granderson,1996-12-18,Wyoming,YAMP_180683728eda
MOO184560,MoorAr20,Art Moore,art moore,1951-04-04,Tulsa,YAMP_1806cedc6604
00-0026788,ObioCy99,Cyril Obiozor,cyril obiozor,1986-09-26,Texas A&M,YAMP_18088957e754
00-0037124,MoorGe01,George Moore,george moore,1996-07-31,Oregon,YAMP_180c35d10885
JOR650016,JordTi20,Tim Jordan,tim jordan,1964-04-26,Wisconsin,YAMP_180f754f1630
00-0009219,KillTe20,Terry Killens,terry killens,1974-03-24,Penn State,YAMP_1817548d6f3e
,,Jaden Shirden,jaden shirden,,Monmouth,YAMP_1817dc24714d
LOG757974,,Tony Logan,tony logan,,Maryland,YAMP_18199ccd2ce1
HEN736537,,Tom Hensley,tom hensley,1963-06-09,California State - Long Beach,YAMP_181b78223e04
00-0009960,LintJo00,Jonathan Linton,jonathan linton,1974-11-07,North Carolina,YAMP_181d5eda12a2
STE292578,stenejan01,Jan Stenerud,jan stenerud,1942-11-26,Montana State,YAMP_181d9ad89656
00-0013607,reveifua01,Fuad Reveiz,fuad reveiz,1963-02-24,Tennessee,YAMP_182163a2e6ee
SEX437791,SextBr20,Brent Sexton,brent sexton,1953-07-23,Elon,YAMP_1822ad9c4004
00-0040374,McLaSe00,Seth McLaughlin,seth mclaughlin,2001-08-27,Ohio State; Alabama,YAMP_1822b62d727f
00-0031280,CarrDe02,Derek Carr,derek carr,1991-03-28,Fresno State,YAMP_1824bb3d23c9
00-0028815,CosbDe00,DeMarco Cosby,demarco cosby,1988-07-02,Central Missouri,YAMP_182570faf28b
WAD261174,WaddBi00,Billy Waddy,billy waddy,1954-02-19,Colorado,YAMP_1825aa6d5838
00-0032772,SmitRy00,Ryan Smith,ryan smith,1993-09-07,North Carolina Central,YAMP_1825d2916a5f
,,Byron Capers,byron capers,,Florida St.,YAMP_18278c49c113
00-0013928,,Mike Rockwood,mike rockwood,1973-06-05,UNLV,YAMP_182a5b50c5ca
00-0004811,elamxjas01,Jason Elam,jason elam,1970-03-08,Hawaii,YAMP_182baa705250
00-0032412,LowrDe00,Dean Lowry,dean lowry,1994-06-09,Northwestern,YAMP_182c50d64767
00-0023578,OrloDa00,Dan Orlovsky,dan orlovsky,1983-08-18,Connecticut,YAMP_182f6e588719
JOH543984,JohnNa21,Nate Johnson,nate johnson,1957-05-12,Hillsdale; Charles Stewart Mott CC,YAMP_182fc54a6482
,,Rick Crowell,rick crowell,,Colorado State,YAMP_182ffa042ca7
00-0031492,MyerJa00,Jason Myers,jason myers,1991-05-12,Marist,YAMP_1831c6a7fe2f
BER120808,BergEr20,Eric Bergeson,eric bergeson,1966-01-01,BYU,YAMP_1837515990a0
00-0031050,MartKa00,Kareem Martin,kareem martin,1992-02-19,North Carolina,YAMP_183784b8ca45
00-0030563,WernBj00,Bjoern Werner,bjoern werner,1990-08-30,Florida State,YAMP_183b354be7dc
00-0016444,ThurBr20,Brian Thure,brian thure,1973-09-03,California,YAMP_183bf2aa9f50
GOO471920,GoodDo21,Don Goodman,don goodman,1959-04-23,Cincinnati,YAMP_18401ecc7d68
00-0035769,WashSc00,Scotty Washington,scotty washington,1996-07-26,Wake Forest,YAMP_18429ba16901
JOH252564,JohnFl00,Flip Johnson,flip johnson,1963-07-13,McNeese State,YAMP_184343c03cbf
00-0029119,CarrDe00,Derek Carrier,derek carrier,1990-07-25,Beloit College,YAMP_1843be80d774
00-0039288,SirmJa00,Jackson Sirmon,jackson sirmon,2000-04-15,California; Washington,YAMP_1845681305f4
00-0001967,BrowJo23,Jonathan Brown,jonathan brown,1975-11-28,Tennessee,YAMP_1845752b8736
00-0040165,MoorMa04,Malachi Moore,malachi moore,2001-09-13,Alabama,YAMP_1845d985d93e
00-0005015,EverJi00,Jim Everett,jim everett,1963-01-03,Purdue,YAMP_18472fc099d6
NOR458150,NorrJi21,Jimmy Norris,jimmy norris,1964-03-12,Upsala College,YAMP_184aecb1b41a
COO173835,CookKe20,Kelly Cook,kelly cook,1962-08-20,Oklahoma State,YAMP_184b61596b6a
,,J.C. Watts,j.c. watts,,Oklahoma,YAMP_184bd3ec4cbf
PES664464,PesuWa20,Wally Pesuit,wally pesuit,1954-03-04,Kentucky,YAMP_184c101ca7e8
00-0030593,WarmCh00,Chance Warmack,chance warmack,1991-09-14,Alabama,YAMP_184d0acfdffd
00-0020400,MoreZe20,Zeke Moreno,zeke moreno,1978-10-10,USC,YAMP_184d4cec7122
00-0022695,BabiJa20,Jason Babin,jason babin,1980-05-24,Western Michigan,YAMP_184e0f6f19dc
00-0015556,StanSy20,Sylvester Stanley,sylvester stanley,1970-05-14,Michigan,YAMP_184fc49aadc2
00-0027286,McCaKy00,Kyle McCarthy,kyle mccarthy,1986-09-30,Notre Dame,YAMP_1851032b9074
00-0024798,,Marco Thomas,marco thomas,1983-11-27,Western Illinois,YAMP_185335c5ff4f
00-0032757,RoseWi00,Winston Rose,winston rose,1993-11-29,New Mexico State,YAMP_1854443d61ab
00-0024617,,Dane Uperesa,dane uperesa,1984-01-25,Hawaii,YAMP_185847d823a7
00-0029669,HighDo01,Dont'a Hightower,dont'a hightower,1990-03-12,Alabama,YAMP_18595e460575
,,Doug Landry,doug landry,,Louisiana Tech,YAMP_185a7010d440
00-0034427,WillDa011,Dave Williams,dave williams,1994-06-17,Arkansas; South Carolina,YAMP_185ce717e42a
,,Eric Bateman,eric bateman,,BYU,YAMP_185d3274931e
00-0037007,JonePa00,Patrick Jones II,patrick jones,1998-09-29,Pittsburgh,YAMP_1860294f9c79
00-0002975,chrisste01,Steve Christie,steve christie,1967-11-13,William & Mary,YAMP_18629f7037f1
00-0025916,,Dezmond Sherrod,dezmond sherrod,1985-05-11,Mississippi State,YAMP_1864aa311ac9
00-0038557,WillDo04,Dorian Williams,dorian williams,2001-06-28,Tulane,YAMP_186c0c7fef47
00-0024107,BoykMc99,McKinley Boykin,mckinley boykin,1983-03-24,Mississippi,YAMP_186e05f14459
00-0037359,BabiJo00,Josh Babicz,josh babicz,1999-04-23,North Dakota State,YAMP_1870238097c1
00-0034843,HughMi00,Mike Hughes,mike hughes,1997-02-11,UCF; Garden City CC; North Carolina,YAMP_1873f2317116
00-0025642,RobiRa99,Ramzee Robinson,ramzee robinson,1984-02-20,Alabama,YAMP_1876c69ab4aa
00-0009550,LaFlDa00,David LaFleur,david lafleur,1974-01-29,LSU,YAMP_187708989456
00-0027150,EdelJu00,Julian Edelman,julian edelman,1986-05-22,Kent State; San Mateo,YAMP_187c08521b95
00-0025396,GinnTe00,Ted Ginn,ted ginn,1985-04-12,Ohio State,YAMP_187cda1be993
00-0004518,DrakTr20,Troy Drake,troy drake,1972-05-15,Indiana,YAMP_187f941254f7
00-0010897,McGuGe20,Gene McGuire,gene mcguire,1970-07-17,Notre Dame,YAMP_18819db5b8e1
00-0013138,PortJo20,Jose Portilla,jose portilla,1972-09-11,Arizona; Ricks College,YAMP_188403673e80
00-0025748,,Dek Bake,dek bake,1984-02-06,Texas Tech; Fresno City College,YAMP_1885b5def66f
00-0039321,MettMc00,McKade Mettauer,mckade mettauer,2000-07-19,Oklahoma,YAMP_188887c8ec85
00-0007867,,Ben Huff,ben huff,1975-02-21,Michigan,YAMP_1888b6bc4e69
00-0011276,MillJi00,Jim Miller,jim miller,1971-02-09,Michigan State,YAMP_188cdf16cae9
,OluwOl00,Olusegun Oluwatimi,olusegun oluwatimi,,Michigan,YAMP_18934b06869f
00-0017398,,Joe Weinberg,joe weinberg,1967-10-17,Johnson C. Smith University,YAMP_1897d97ea72b
00-0030046,MillJo02,Jordan Mills,jordan mills,1990-12-24,Louisiana Tech,YAMP_18a2cbe490b0
MCI775208,McIvRi20,Rick McIvor,rick mcivor,1960-09-26,Texas,YAMP_18a3f729f990
,,Lawrence McCullough,lawrence mccullough,,Illinois,YAMP_18a9ad14cdac
00-0038763,LindTy01,Tyjon Lindsey,tyjon lindsey,1999-01-07,Oregon State; Nebraska,YAMP_18a9df085990
00-0024638,PopeGe20,Geoffrey Pope,geoffrey pope,1984-06-21,Howard; Eastern Michigan,YAMP_18ab609010a0
00-0011310,MillSc00,Scott Miller,scott miller,1968-10-20,UCLA; Saddleback Community College,YAMP_18ab8178becc
00-0020429,PollTo21,Tommy Polley,tommy polley,1978-01-18,Florida State,YAMP_18abd7d2ed67
00-0036283,RobiKe02,Kenny Robinson,kenny robinson,1999-01-08,West Virginia,YAMP_18acba382832
ELA577722,ElarKa00,Kaleb Elarms-Orr,kaleb elarms-orr,2003-08-29,TCU; California,YAMP_18ad9c6ec8ed
00-0006348,GreeRo21,Rogerick Green,rogerick green,1969-12-15,Kansas State,YAMP_18af023dabfe
00-0003236,,Quincy Coleman,quincy coleman,1975-05-23,Jackson State University,YAMP_18af9fe9cb42
00-0039231,MurtPa00,Patrick Murtagh,patrick murtagh,2000-02-11,,YAMP_18b51f8a2fab
BUR217514,BurkRa00,Randy Burke,randy burke,1955-05-26,Kentucky,YAMP_18bba59f6bca
00-0019534,MealRo00,Rondell Mealey,rondell mealey,1977-02-24,LSU,YAMP_18c4eafd1327
00-0027090,SidbLa99,Lawrence Sidbury,lawrence sidbury,1986-02-06,Richmond,YAMP_18cbc4b60b34
,,Adam Finley,adam finley,,Michigan,YAMP_18ce273e840b
00-0005116,FeasGr20,Grant Feasel,grant feasel,1960-06-28,Abilene Christian,YAMP_18d05b0ce026
00-0039393,McClJa05,Jase McClellan,jase mcclellan,2002-06-25,Alabama,YAMP_18d1cf9ad27f
00-0004655,,Marcus Durgin,marcus durgin,1972-07-29,Samford,YAMP_18d1e279ac7e
00-0033559,RobeMi01,Michael Roberts,michael roberts,1994-05-07,Toledo,YAMP_18d585c0d0aa
00-0022666,,Landon Trusty,landon trusty,1981-10-09,Central Arkansas,YAMP_18da980622a3
00-0016223,ThomBl00,Blair Thomas,blair thomas,1967-10-07,Penn State,YAMP_18dc73a176b9
00-0021281,HuntPe20,Pete Hunter,pete hunter,1980-05-25,Virginia Union,YAMP_18e213ea31d3
FIS395510,FishMi20,Mike Fisher,mike fisher,1958-04-22,Baylor,YAMP_18e221b6d5c2
,,Jarell White,jarell white,,Cincinnati,YAMP_18e64737a36a
BEC341999,BeckDa20,Dave Becker,dave becker,1957-01-15,Iowa,YAMP_18e8f9055579
00-0030092,MartSa01,Sam Martin,sam martin,1990-02-27,Appalachian State,YAMP_18eae3cb1dd2
00-0000598,BailKa00,Karsten Bailey,karsten bailey,1977-04-26,Auburn,YAMP_18ed7e1a2171
CHA749546,ChatRi20,Ricky Chatman,ricky chatman,1962-01-04,LSU,YAMP_18f0dfecf53e
00-0024223,WhitDo20,Donte Whitner,donte whitner,1985-07-24,Ohio State,YAMP_18f3302a8d6d
00-0031545,WhitKe00,Kevin White,kevin white,1992-06-25,West Virginia; Lackawanna JC,YAMP_18f3ff454406
00-0037799,TillDo00,Dondrea Tillman,dondrea tillman,1998-04-30,"Indiana PA,  University of",YAMP_18f5ab542a56
00-0020256,KaspKe00,Kevin Kasper,kevin kasper,1977-12-23,Iowa,YAMP_18f5ed07b09f
00-0030585,PughJu00,Justin Pugh,justin pugh,1990-08-15,Syracuse,YAMP_18f6ccc8d47f
00-0013722,RidgEl20,Elston Ridgle,elston ridgle,1963-08-24,Nevada; Northern Arizona,YAMP_18f81f0ed406
00-0009141,KeneMa20,Matt Keneley,matt keneley,1973-12-01,USC,YAMP_18f85287d30f
00-0024413,JohnCh23,Charlie Johnson,charlie johnson,1984-05-02,Oklahoma State,YAMP_18f856d0b6b5
JON205964,JoneEa20,Earl Jones,earl jones,1957-07-19,Norfolk State,YAMP_18f861778f4f
00-0035784,KsieEv00,Evin Ksiezarczyk,evin ksiezarczyk,1997-06-08,Buffalo,YAMP_18f9a50694c0
00-0028339,AddiMa00,Mario Addison,mario addison,1987-09-06,Troy; Booneville JC (MS),YAMP_18fddad91f43
00-0018073,WilsWa00,Wade Wilson,wade wilson,1959-02-01,Texas A&M-Commerce,YAMP_18ffb523bd4b
00-0039599,FoelKe00,Kevin Foelsch,kevin foelsch,2001-04-13,University of New Haven,YAMP_18ffccc257f4
00-0040094,WatsTr00,Tre Watson,tre watson,2002-10-12,Texas A&M; Fresno State,YAMP_19002e5a577d
00-0036225,KeenDa00,Dalton Keene,dalton keene,1999-04-14,Virginia Tech,YAMP_19028847de53
00-0021901,GilbTo20,Tony Gilbert,tony gilbert,1979-10-16,Georgia,YAMP_19041bea3119
ACK622935,AcksRo20,Ron Acks,ron acks,1944-10-03,Illinois,YAMP_19060e78c2c0
,,Jeff Deaton,jeff deaton,,Stanford,YAMP_190628349683
,JohnZe00,Zeandae Johnson,zeandae johnson,,California,YAMP_1906bd9fb7f6
00-0026305,GoffJo99,Jonathan Goff,jonathan goff,1985-12-12,Vanderbilt,YAMP_19076e1489b2
00-0033839,WestDe00,Dede Westbrook,dede westbrook,1993-11-21,Oklahoma; Blinn College,YAMP_19077464696f
00-0034384,ReedD.00,D.J. Reed,d.j. reed,1996-11-11,Kansas State; Cerritos College; Fresno State,YAMP_190946563025
00-0039836,JackBr02,Brennan Jackson,brennan jackson,2000-10-14,Washington State,YAMP_190e21ffe17b
BRA415280,BrahTo20,Tom Brahaney,tom brahaney,1951-10-23,Oklahoma,YAMP_190f081f8489
00-0023514,MathEv20,Evan Mathis,evan mathis,1981-11-01,Alabama,YAMP_191113459e28
00-0013622,RhetEr00,Errict Rhett,errict rhett,1970-12-11,Florida,YAMP_1911671b94f0
00-0040149,SmitJa11,Jaylin Smith,jaylin smith,2003-11-05,USC,YAMP_1911da7e25ad
JUS692150,,Sidney Justin,sidney justin,1954-08-14,California State - Long Beach; Los Angeles Southwest College,YAMP_1914fafbbeca
,HarrMa10,Marcus Harris,marcus harris,,California,YAMP_1916862fa786
JOH624124,JohnRi00,Richard Johnson,richard johnson,1961-10-19,Colorado; LAHC,YAMP_1918e3ec31e1
,AshlCa00,Calvin Ashley,calvin ashley,,Florida A&M,YAMP_191de9816c47
00-0031304,ClarWi00,Will Clarke,will clarke,1991-05-04,West Virginia,YAMP_19200e376511
00-0024714,JoneEd22,Edgar Jones,edgar jones,1984-12-01,Southeast Missouri State,YAMP_192214cb6587
,SmitAb00,Abram Smith,abram smith,,Baylor,YAMP_19223eadea59
00-0030775,QuarKe01,Kelcy Quarles,kelcy quarles,1992-01-23,South Carolina,YAMP_1926772f3cf3
00-0035986,ChamTo00,Tommy Champion,tommy champion,1997-03-04,Mississippi State,YAMP_1927f29ade2c
00-0020408,SteeMa20,Markus Steele,markus steele,1979-07-24,USC; Long Beach City College,YAMP_193172b21a53
00-0026948,NolaTr99,Troy Nolan,troy nolan,1986-09-07,Arizona State; College of the Canyons,YAMP_1933bb2392cd
,,Chester Cooper,chester cooper,,Minnesota,YAMP_1934b28c6ae3
00-0020226,TurnNa20,Nate Turner,nate turner,1978-05-26,UNLV,YAMP_1937a33a131f
JOH038856,,Al Johnson,al johnson,1950-06-17,Cincinnati,YAMP_193cdea5a437
00-0022540,,DeJuan Green,dejuan green,1980-05-13,University of South Florida,YAMP_193dad4c7591
KEA377535,KearTi20,Tim Kearney,tim kearney,1950-11-05,Northern Michigan University,YAMP_193dbcfe07e6
BEN083056,benirrol01,Rolf Benirschke,rolf benirschke,1955-02-07,UC Davis,YAMP_19411ca96fad
00-0023322,,Rob Abiamiri,rob abiamiri,1982-12-21,Maryland,YAMP_1941f555c784
00-0040352,OwenCo00,Coleman Owen,coleman owen,2001-03-23,Ohio; Northern Arizona,YAMP_194350b39bf6
00-0001522,BosoCa00,Cap Boso,cap boso,1962-09-10,Illinois; Joliet Junior College,YAMP_19472209884a
,,Bruce Baldwin,bruce baldwin,,Harding,YAMP_1947e5e1754f
DUN764995,DunsPa00,Pat Dunsmore,pat dunsmore,1957-10-02,Drake,YAMP_19487cd01f0a
00-0024629,,Aaron Brown,aaron brown,1985-11-27,New Hampshire,YAMP_194b8d45accd
WOO553698,WoodRi22,Rick Woods,rick woods,1959-11-16,Boise State,YAMP_194db7bcecd6
BRO628728,BrowBo03,Bob Brown,bob brown,1940-02-22,University of Arkansas at Pine Bluff,YAMP_1950e6dedab2
HAR374361,HarrDu00,Duriel Harris,duriel harris,1954-11-27,New Mexico State,YAMP_1952128afc63
00-0024363,BlueGr20,Greg Blue,greg blue,1982-03-12,Georgia,YAMP_195378544b87
00-0014394,,Nicky Savoie,nicky savoie,1973-09-21,LSU; Gulf Coast CC,YAMP_1955f5920d9e
00-0015688,StewAn20,Andrew Stewart,andrew stewart,1965-11-20,Cincinnati; Fresno City College,YAMP_195b1e35df15
HEN141039,HendTh00,Tom Henderson,tom henderson,1953-03-01,Langston University,YAMP_1964b8655117
00-0032394,VannNi00,Nick Vannett,nick vannett,1993-03-06,Ohio State,YAMP_19662dfb9b7f
00-0033554,ThomTe00,Tedric Thompson,tedric thompson,1995-01-20,Colorado,YAMP_196a2ddfcbba
00-0008593,johnsnor01,Norm Johnson,norm johnson,1960-05-31,UCLA,YAMP_196abbd3edf0
00-0032528,MurrJu00,Justin Murray,justin murray,1993-04-19,Cincinnati,YAMP_19716e05fd43
00-0018968,MoorRo22,Ron Moore,ron moore,1977-08-10,Northwestern Oklahoma State University; Hinds CC,YAMP_1971905729f8
DEL127780,DelaJe20,Jeff Delaney,jeff delaney,1956-10-25,Pittsburgh,YAMP_1973b22599c5
00-0025455,BlacQu99,Quincy Black,quincy black,1984-02-28,New Mexico; William Rainey Harper College,YAMP_19758d495e47
00-0029286,SandZe00,Zebrie Sanders,zebrie sanders,1989-12-04,Florida State,YAMP_1978f74b45ee
,JohnDJ00,DJ Johnson,dj johnson,,Oregon,YAMP_197a93b5e850
00-0039679,NikkBe00,Ben Nikkel,ben nikkel,2001-05-12,Iowa State; McPherson College,YAMP_197b19788a1f
HAR021515,HardBi20,Billy Hardee,billy hardee,1954-08-12,Virginia Tech,YAMP_197cc307e8b0
00-0038426,MetzLo00,Lorenz Metz,lorenz metz,1997-03-07,Cincinnati,YAMP_1980bbe378b6
00-0021250,BoimRo20,Rocky Boiman,rocky boiman,1980-01-24,Notre Dame,YAMP_19813354a9e4
00-0021227,PeelJu00,Justin Peelle,justin peelle,1979-03-15,Oregon,YAMP_19840a4c0981
LIN458240,LindCh20,Chris Lindstrom,chris lindstrom,1960-08-03,Boston University,YAMP_1985db52f707
00-0040645,SimoCo01,Cody Simon,cody simon,2002-04-01,Ohio State,YAMP_1987431fbaae
00-0037483,GeigKa00,Kaylon Geiger,kaylon geiger,1997-11-01,Texas Tech; Navarro,YAMP_1989c0d41b5f
00-0037204,RussKo00,Kody Russey,kody russey,1998-05-14,Houston,YAMP_198cbae5331a
00-0029431,DyexTo00,Tony Dye,tony dye,1990-02-11,UCLA,YAMP_198d5c386567
00-0027566,GreeIs20,Isaiah Greenhouse,isaiah greenhouse,1987-07-15,Northwestern State (LA),YAMP_198df70f20ea
00-0038566,SaldNi00,Nick Saldiveri,nick saldiveri,2000-08-14,Old Dominion,YAMP_198ed8780e3a
00-0031730,CrumEr00,Eric Crume,eric crume,1993-10-18,Syracuse,YAMP_1995335e8a46
00-0035297,HarmKe00,Kelvin Harmon,kelvin harmon,1996-12-15,N.C. State,YAMP_1996d2215ce0
00-0012687,PaynRo20,Rod Payne,rod payne,1974-06-14,Michigan,YAMP_199927599715
00-0019706,RobbFr20,Fred Robbins,fred robbins,1977-03-26,Wake Forest,YAMP_199c40e4c25c
00-0030488,EdwaLa00,Lavar Edwards,lavar edwards,1990-04-29,LSU,YAMP_199c52a483c2
00-0015506,StaaJe20,Jeremy Staat,jeremy staat,1976-10-10,Arizona State; Bakersfield College,YAMP_19a29cc1bf08
00-0033470,McQuLe01,Leon McQuay III,leon mcquay,1994-11-21,USC,YAMP_19a3ec871b07
00-0033731,SullTr01,Tre Sullivan,tre sullivan,1993-12-21,Shepherd,YAMP_19a5acd22ac2
ROV276861,rovetjoh01,John Roveto,john roveto,1958-02-20,Louisiana-Lafayette,YAMP_19a62bc2f683
00-0031835,RascJe00,Jermauria Rasco,jermauria rasco,1992-10-05,LSU,YAMP_19a8e64c7735
00-0033154,KirbRa00,Raphael Kirby,raphael kirby,,Miami,YAMP_19af4a262f03
00-0017974,WillJa27,Jamal Willis,jamal willis,1972-12-12,BYU,YAMP_19b3366d1cef
00-0016037,TambBe20,Ben Tamburello,ben tamburello,1964-09-09,Auburn,YAMP_19b67bcac74b
00-0027772,DixoAn00,Anthony Dixon,anthony dixon,1987-09-24,Mississippi State,YAMP_19bc907a8725
LEW328757,LewiGa00,Gary Lewis,gary lewis,1958-12-30,University of Texas-Arlington,YAMP_19bc9dd7f809
,,Marc Zeno,marc zeno,,Tulane,YAMP_19bd02af102a
HOU103822,HougJi20,Jim Hough,jim hough,1956-08-04,Utah State,YAMP_19cad20dc284
,,Charles Drake,charles drake,,Michigan,YAMP_19cb85edff05
ZEL276860,ZeleCo20,Connie Zelencik,connie zelencik,1955-04-03,Purdue,YAMP_19cc8af35b59
,,Adamm Oliver,adamm oliver,,Georgia Tech,YAMP_19ce2292a684
00-0029798,,C.J. Akins,c.j. akins,1991-05-10,Angelo State University,YAMP_19d37d56e7a2
DAV426474,DaviJa23,James Davis,james davis,1957-06-12,Southern; Los Angeles Southwest College,YAMP_19d4194d295f
00-0020498,WaynRe00,Reggie Wayne,reggie wayne,1978-11-17,Miami,YAMP_19d6f36566d2
00-0020317,BellKe20,Kendrell Bell,kendrell bell,1980-07-02,Georgia; Middle Georgia College,YAMP_19d82baec37b
00-0022142,BranCo20,Colin Branch,colin branch,1980-03-02,Stanford,YAMP_19ddd5fc0e54
00-0033903,JoneJo06,Josh Jones,josh jones,1994-09-20,N.C. State,YAMP_19e2870c542a
00-0027058,AlleAs99,Asher Allen,asher allen,1988-01-22,Georgia,YAMP_19eb47a38ac3
00-0004739,EdmoBo00,Bobby Joe Edmonds,bobby joe edmonds,1964-09-26,Arkansas,YAMP_19eb4db31d7a
00-0040604,HarvJa00,Jahfari Harvey,jahfari harvey,2001-05-02,SMU; Miami,YAMP_19ee67ff69f1
00-0029394,BersBr00,Brenton Bersin,brenton bersin,1990-05-09,Wofford,YAMP_19efe3e08a33
FRA171379,FranPh00,Phil Francis,phil francis,1957-01-10,Stanford,YAMP_19f5c5c4b22f
,,Jonathan Gray,jonathan gray,,Texas Tech,YAMP_19f74fe162af
,,Robin Fisher,robin fisher,,Florida,YAMP_19fa0fa092dd
00-0030157,KellCo00,Colin Kelly,colin kelly,1989-12-29,Oregon State,YAMP_1a02a80ab329
00-0021353,GiveDa00,David Givens,david givens,1980-08-16,Notre Dame,YAMP_1a03fb431dd2
,,Patrick Witt,patrick witt,,Yale,YAMP_1a09944b88fb
00-0018230,,Sean Woodson,sean woodson,1974-08-27,Jackson State University,YAMP_1a0ab47b5af9
MCM398676,McMiEd20,Eddie McMillan,eddie mcmillan,1951-11-25,Florida State,YAMP_1a11b77359f7
HEA635141,HeatCl20,Clayton Heath,clayton heath,1951-02-15,Wake Forest; Nassau CC,YAMP_1a13db7bd9ec
00-0024407,McNeRe00,Reggie McNeal,reggie mcneal,1983-09-20,Texas A&M,YAMP_1a1434ef1bfb
,,David Gusta,david gusta,,Kentucky,YAMP_1a14f1e6dea3
00-0026879,HarrDa01,Darryl Harris,darryl harris,1985-01-14,Mississippi,YAMP_1a1643c0a79c
00-0026904,IgleJu00,Juaquin Iglesias,juaquin iglesias,1987-08-22,Oklahoma,YAMP_1a17d99ff882
,,Mike Foley,mike foley,,New Hampshire,YAMP_1a19544229de
